,시도별,30세 수검자합계,30세우울,40세 수검자합계,40세우울,50세 수검자합계,50세우울
1,서울,73078,6251,97151,6644,97986,5076
2,부산,19786,1372,34325,1768,34711,1431
3,대구,13619,864,24058,1302,27057,1077
4,인천,19262,1511,32573,2113,33483,1695
5,광주,8136,528,16179,745,16436,600
6,대전,9718,761,15571,980,17793,875
7,울산,7778,489,13540,650,14393,539
8,세종,2077,114,5215,311,3303,157
9,경기,84167,6452,145152,9454,151292,7736
10,강원,7619,522,13240,740,16090,655
11,충북,9761,722,15671,914,18404,787
12,충남,12556,928,20742,1224,21980,986
13,전북,8177,514,15959,712,18855,678
14,전남,8076,400,15848,661,18474,638
15,경북,13201,858,23580,1258,27132,1010
16,경남,17626,1019,35782,1744,38602,1551
17,제주,3193,288,6720,431,6802,318
