"행정구역","2019년12월_계_총인구수","2019년12월_계_연령구간인구수","2019년12월_계_50세"
"전국  (0000000000)","51,849,861","921,051","921,051"
"서울특별시  (1100000000)","9,729,107","167,963","167,963"
"부산광역시  (2600000000)","3,413,841","58,184","58,184"
"대구광역시  (2700000000)","2,438,031","44,861","44,861"
"인천광역시  (2800000000)","2,957,026","53,420","53,420"
"광주광역시  (2900000000)","1,456,468","25,120","25,120"
"대전광역시  (3000000000)","1,474,870","27,378","27,378"
"울산광역시  (3100000000)","1,148,019","21,877","21,877"
"세종특별자치시  (3600000000)","340,575","5,137","5,137"
"경기도  (4100000000)","13,239,666","244,110","244,110"
"강원도  (4200000000)","1,541,502","26,889","26,889"
"충청북도  (4300000000)","1,600,007","29,015","29,015"
"충청남도  (4400000000)","2,123,709","36,008","36,008"
"전라북도  (4500000000)","1,818,917","30,463","30,463"
"전라남도  (4600000000)","1,868,745","30,525","30,525"
"경상북도  (4700000000)","2,665,836","45,794","45,794"
"경상남도  (4800000000)","3,362,553","62,107","62,107"
"제주특별자치도  (5000000000)","670,989","12,200","12,200"
