,시도별,30세우울비율,40세우울비율,50세우울비율
1,서울,8.553873942910315,6.83883850912497,5.180331884146715
2,부산,6.934195896088142,5.150764748725418,4.122612428336839
3,대구,6.344078126147294,5.411921190456397,3.980485641423661
4,인천,7.844460595992109,6.486967734012833,5.06227040587761
5,광주,6.489675516224189,4.604734532418568,3.6505232416646383
6,대전,7.830829388763121,6.293751204161582,4.9176642499859495
7,울산,6.286963229622011,4.800590841949778,3.7448759813798373
8,세종,5.48868560423688,5.963566634707574,4.753254617014835
9,경기,7.665712215001129,6.513172398589065,5.113290854770907
10,강원,6.851292820580128,5.589123867069486,4.070851460534493
11,충북,7.396783116483967,5.832429328058197,4.2762442947185395
12,충남,7.390888818094934,5.901070292160833,4.485896269335759
13,전북,6.285923932982756,4.46143242057773,3.5958631662688942
14,전남,4.952947003467063,4.170873296314992,3.453502219335282
15,경북,6.499507613059617,5.335029686174724,3.722541648238243
16,경남,5.7812322705094745,4.873958973785703,4.017926532304026
17,제주,9.019730660820544,6.413690476190475,4.675095560129374
